id,fuente_id,timestamp,valor,latitud,longitud
1200,2,2024-06-01T21:16:00Z,31.52,36.72511,-4.431323
1201,2,2024-06-02T11:34:00Z,17.79,36.728045,-4.422585
1202,3,2024-06-01T18:47:00Z,34.15,39.477876,-0.379452
1203,2,2024-06-02T02:21:00Z,25.56,36.7197,-4.411559
1204,2,2024-06-01T18:27:00Z,34.99,36.712064,-4.420339
1205,2,2024-06-01T12:53:00Z,23.06,36.718481,-4.415373
1206,5,2024-06-01T16:21:00Z,23.13,37.780919,-122.414235
1207,2,2024-06-01T13:58:00Z,23.63,36.721912,-4.427475
1208,4,2024-06-02T01:23:00Z,17.14,41.391147,2.182922
1209,4,2024-06-02T02:16:00Z,22.27,41.382058,2.173064
1210,2,2024-06-01T16:44:00Z,19.85,36.715552,-4.43048
1211,4,2024-06-01T18:36:00Z,30.8,41.389059,2.172488
1212,2,2024-06-02T10:45:00Z,33.63,36.72674,-4.41938
1213,5,2024-06-01T14:22:00Z,19.08,37.777101,-122.415989
1214,4,2024-06-02T06:40:00Z,16.58,41.39095,2.177357
1215,2,2024-06-01T14:44:00Z,27.86,36.720526,-4.424741
1216,5,2024-06-01T12:48:00Z,31.68,37.77377,-122.429244
1217,5,2024-06-01T12:45:00Z,21.96,37.77689,-122.429049
1218,2,2024-06-02T00:16:00Z,32.56,36.71986,-4.421715
1219,4,2024-06-01T22:05:00Z,17.1,41.38668,2.172943
1220,4,2024-06-02T09:05:00Z,28.63,41.39167,2.182137
1221,5,2024-06-01T19:26:00Z,19.11,37.765971,-122.412538
1222,2,2024-06-02T01:11:00Z,18.2,36.714993,-4.417293
1223,3,2024-06-02T05:27:00Z,17.18,39.469906,-0.372811
1224,4,2024-06-01T21:29:00Z,17.37,41.392153,2.173069
1225,1,2024-06-01T21:32:00Z,22.64,40.422529,-3.695092
1226,1,2024-06-01T18:07:00Z,18.23,40.419465,-3.699674
1227,3,2024-06-02T11:15:00Z,32.35,39.46516,-0.368148
1228,4,2024-06-02T06:14:00Z,19.63,41.384992,2.16734
1229,3,2024-06-02T02:05:00Z,16.94,39.468516,-0.381906
1230,5,2024-06-01T21:23:00Z,28.79,37.766214,-122.413144
1231,2,2024-06-01T12:36:00Z,32.36,36.727721,-4.424011
1232,2,2024-06-02T02:32:00Z,27.48,36.720131,-4.415146
1233,1,2024-06-01T21:44:00Z,25.65,40.41834,-3.703301
1234,2,2024-06-01T16:44:00Z,25.25,36.729805,-4.425506
1235,1,2024-06-02T02:05:00Z,31.28,40.414299,-3.703413
1236,3,2024-06-01T17:32:00Z,27.74,39.474621,-0.379907
1237,1,2024-06-02T08:04:00Z,23.71,40.419068,-3.708039
1238,3,2024-06-01T15:42:00Z,29.02,39.476509,-0.384206
1239,2,2024-06-01T16:49:00Z,30.34,36.716414,-4.413504
1240,2,2024-06-02T03:59:00Z,30.59,36.72452,-4.427633
1241,5,2024-06-01T12:36:00Z,28.32,37.767218,-122.409459
1242,1,2024-06-01T16:30:00Z,31.09,40.423526,-3.693903
1243,5,2024-06-01T20:11:00Z,30.01,37.773251,-122.423962
1244,2,2024-06-01T15:36:00Z,17.2,36.728073,-4.429715
1245,1,2024-06-01T23:39:00Z,22.86,40.407966,-3.702079
1246,2,2024-06-02T04:59:00Z,16.34,36.716158,-4.430796
1247,2,2024-06-02T07:23:00Z,30.23,36.724504,-4.415731
1248,1,2024-06-01T15:28:00Z,20.87,40.421338,-3.705254
1249,4,2024-06-02T05:28:00Z,32.28,41.390809,2.167309
1250,3,2024-06-01T22:22:00Z,28.2,39.470524,-0.372083
1251,4,2024-06-01T21:27:00Z,16.66,41.393017,2.166852
1252,5,2024-06-02T01:04:00Z,16.77,37.774554,-122.416342
1253,3,2024-06-01T12:55:00Z,26.56,39.47964,-0.375992
1254,3,2024-06-01T15:15:00Z,22.64,39.464476,-0.371101
1255,4,2024-06-02T06:19:00Z,18.69,41.378865,2.174316
1256,3,2024-06-01T17:21:00Z,33.44,39.473612,-0.379436
1257,5,2024-06-02T01:59:00Z,16.12,37.783988,-122.417256
1258,3,2024-06-01T19:46:00Z,20.32,39.464675,-0.370598
1259,1,2024-06-02T05:51:00Z,25.08,40.425212,-3.699613
1260,4,2024-06-01T19:00:00Z,26.1,41.38686,2.16374
1261,3,2024-06-01T12:32:00Z,31.25,39.471642,-0.375058
1262,1,2024-06-01T17:54:00Z,15.59,40.418101,-3.707184
1263,3,2024-06-02T06:58:00Z,33.16,39.461863,-0.372694
1264,1,2024-06-01T15:08:00Z,16.62,40.419979,-3.705858
1265,5,2024-06-02T04:34:00Z,27.28,37.765193,-122.42036
1266,4,2024-06-01T12:28:00Z,20.68,41.388047,2.181134
1267,4,2024-06-02T11:15:00Z,30.76,41.382141,2.172454
1268,2,2024-06-02T09:24:00Z,20.18,36.727811,-4.423657
1269,1,2024-06-02T00:12:00Z,22.87,40.423179,-3.700073
1270,3,2024-06-02T11:38:00Z,30.63,39.46678,-0.372065
1271,1,2024-06-02T10:01:00Z,24.67,40.420529,-3.709369
1272,2,2024-06-02T06:08:00Z,29.89,36.71296,-4.414488
1273,1,2024-06-02T05:01:00Z,26.6,40.421572,-3.702589
1274,4,2024-06-01T14:47:00Z,27.06,41.381128,2.169077
1275,5,2024-06-02T07:17:00Z,19.61,37.770906,-122.418732
